Ticker,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,JNJ,JNJ,JNJ,JPM,JPM,JPM,META,META,META,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,TSLA,TSLA,TSLA
Price,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,122.98271942138672,125.06999969482422,112117500,85.81999969482422,85.81999969482422,76706000,161.7957763671875,178.19000244140625,6344900,124.29258728027344,135.1199951171875,11054800,123.76873016357422,124.73999786376953,35528500,233.45277404785156,239.5800018310547,25740000,14.299910545349121,14.3149995803833,401277000,108.0999984741211,108.0999984741211,231402800
2023-01-04,124.2511978149414,126.36000061035156,89113600,85.13999938964844,85.13999938964844,68885100,163.5572509765625,180.1300048828125,9788800,125.4516372680664,136.3800048828125,11687600,126.37825775146484,127.37000274658203,32397100,223.24082946777344,229.10000610351562,50623400,14.733449935913086,14.74899959564209,431324000,113.63999938964844,113.63999938964844,180389000
2023-01-05,122.93353271484375,125.0199966430664,80962700,83.12000274658203,83.12000274658203,67930800,162.34963989257812,178.8000030517578,6255300,125.42383575439453,135.35000610351562,8381300,125.95159912109375,126.94000244140625,25447100,216.62448120117188,222.30999755859375,39585600,14.24996280670166,14.265000343322754,389168000,110.33999633789062,110.33999633789062,157986300
2023-01-06,127.4567642211914,129.6199951171875,87754700,86.08000183105469,86.08000183105469,83303400,163.66624450683594,180.25,5706000,127.82389831542969,137.94000244140625,10029100,129.00762939453125,130.02000427246094,27584500,219.17747497558594,224.92999267578125,43613600,14.843337059020996,14.859000205993652,405044000,113.05999755859375,113.05999755859375,220911100
2023-01-09,127.97793579101562,130.14999389648438,70790800,87.36000061035156,87.36000061035156,65266100,159.4259033203125,175.5800018310547,7925300,127.2956771850586,137.3699951171875,8482300,128.4619140625,129.47000122070312,26649100,221.31143188476562,227.1199951171875,27369800,15.61152458190918,15.628000259399414,504231000,119.7699966430664,119.7699966430664,190284000
2023-01-10,128.54830932617188,130.72999572753906,63896200,89.87000274658203,89.87000274658203,67756600,159.04452514648438,175.16000366210938,5047500,128.43551635742188,138.60000610351562,9048700,131.95448303222656,132.99000549316406,28684400,222.99720764160156,228.85000610351562,27033900,15.892230987548828,15.909000396728516,384101000,118.8499984741211,118.8499984741211,167642500
2023-01-11,131.26222229003906,133.49000549316406,69458900,95.08999633789062,95.08999633789062,103126200,158.790283203125,174.8800048828125,6494800,129.3899688720703,139.6300048828125,8703700,131.85528564453125,132.88999938964844,25423000,229.74024963378906,235.77000427246094,28669300,15.984130859375,16.000999450683594,353285000,123.22000122070312,123.22000122070312,183810800
2023-01-12,131.18350219726562,133.41000366210938,71379600,95.2699966430664,95.2699966430664,85254800,157.9912567138672,174.0,4269400,129.26023864746094,139.49000549316406,11001700,135.64553833007812,136.7100067138672,30757700,232.41017150878906,238.50999450683594,27269500,16.49359703063965,16.51099967956543,551409000,123.55999755859375,123.55999755859375,169400900
2023-01-13,132.51101684570312,134.75999450683594,57809700,98.12000274658203,98.12000274658203,85549400,157.47369384765625,173.42999267578125,6088000,132.52207946777344,143.00999450683594,20200000,135.91342163085938,136.97999572753906,22423800,233.1117401123047,239.22999572753906,21333300,16.881189346313477,16.89900016784668,447287000,122.4000015258789,122.4000015258789,180714100
2023-01-17,133.6713104248047,135.94000244140625,63646600,96.05000305175781,96.05000305175781,72755000,156.50216674804688,172.36000061035156,6053300,130.4741668701172,140.8000030517578,14292900,134.3060302734375,135.36000061035156,21147600,234.20314025878906,240.35000610351562,29831300,17.683340072631836,17.70199966430664,511102000,131.49000549316406,131.49000549316406,186477000
2023-01-18,132.9534912109375,135.2100067138672,69672800,95.45999908447266,95.45999908447266,79570400,154.14132690429688,169.75999450683594,7047800,126.55436706542969,136.57000732421875,13392600,131.9842529296875,133.02000427246094,20215500,229.77923583984375,235.80999755859375,30028700,17.358684539794922,17.37700080871582,439624000,128.77999877929688,128.77999877929688,195680300
2023-01-19,133.01251220703125,135.27000427246094,58280400,93.68000030517578,93.68000030517578,69002700,153.93247985839844,169.52999877929688,6939500,124.86785888671875,134.75,13303400,135.0898895263672,136.14999389648438,28625200,225.99842834472656,231.92999267578125,28623000,16.74732780456543,16.764999389648438,452932000,127.16999816894531,127.16999816894531,170291900
2023-01-20,135.569091796875,137.8699951171875,80223600,97.25,97.25,67481500,153.21522521972656,168.74000549316406,8620600,125.17362976074219,135.0800018310547,13092500,138.28482055664062,139.3699951171875,28688600,234.07643127441406,240.22000122070312,35389800,17.82019805908203,17.839000701904297,564967000,133.4199981689453,133.4199981689453,138858100
2023-01-23,138.75503540039062,141.11000061035156,81760300,97.5199966430664,97.5199966430664,76501100,152.82473754882812,168.30999755859375,8425400,127.20304870605469,137.27000427246094,10487100,142.1544189453125,143.27000427246094,27470100,236.37608337402344,242.5800018310547,31934000,19.172765731811523,19.19300079345703,655163000,143.75,143.75,203119200
